CRD#,SEC#,Primary Business Name,Legal Name,Main Office Address 1,Main Office Address 2,Main City,Main State,Main Zip,Main Phone,Main Fax,Web Site,Registration Status,Registration Status Effective Date
118786,801-60965,SCOTTSDALE CAPITAL ADVISORS CORP,SCOTTSDALE CAPITAL ADVISORS CORP,7170 E. MCDONALD RD #6,,SCOTTSDALE,AZ,85253,480-603-4904,480-603-4901,WWW.SCOTTSDALECAPITAL.COM,Approved,2/21/07
146850,,SRA CAPITAL MANAGEMENT LLC,SRA CAPITAL MANAGEMENT LLC,80 E. SIR FRANCIS DRAKE BLVD.,SUITE 3F,LARKSPUR,CA,94939,(415) 925-0346,(415) 925-0264,WWW.SRACAP.COM,Approved,6/15/10
152620,,WILLIAM O'NEIL + COMPANY,WILLIAM O'NEIL + CO. INCORPORATED,12655 BEATRICE STREET,SUITE 2A,LOS ANGELES,CA,90066,310-448-6800,310-577-7375,WWW.WILLIAMONEIL.COM,Approved,2/2/10
130999,,"WINTERS & CO. ADVISORS, LLC","WINTERS & CO. ADVISORS, LLC",11845 WEST OLYMPIC BLVD.,SUITE 540,LOS ANGELES,CA,90064,310-954-8800,310-954-8900,WWW.WINTERS-CO.COM,Approved,9/4/09
110608,,"BROWNSON, REHMUS & FOXWORTH, INC.","BROWNSON, REHMUS & FOXWORTH, INC.",1550 EL CAMINO REAL,SUITE 200,MENLO PARK,CA,94025,650-328-1766,650-324-3856,WWW.BRFINC.COM,Approved,10/12/84
146621,,"VESTIGE WEALTH MANAGEMENT, LLC","VESTIGE WEALTH MANAGEMENT, LLC",2605 NORTH LOWELL  LANE,,SANTA ANA,CA,92706,949-630-2428,949-574-9194,WWW.VESTIGEWM.COM,Approved,6/5/08
143665,,HBW ADVISORY SERVICES LLC,HBW ADVISORY SERVICES LLC,3355 COCHRAN STREET,SUITE 100,SIMI VALLEY,CA,93063,800-473-3856,805-582-1578,WWW.HBWADVISORY.COM,Approved,4/6/09
112122,,"MKS INVESTMENT MANAGEMENT, INC.","MKS INVESTMENT MANAGEMENT, INC.",15 ALICE LANE,,AMSTON,CT,6231,860-228-1040,866-240-7087,WWW.2281040.COM,Approved,11/7/97
156120,,"AVON CAPITAL ADVISORS, LLC","AVON CAPITAL ADVISORS, LLC",40 TOWER LANE,,AVON,CT,06001-4222,860-677-9544,,WWW.AVONCAP.COM,Approved,5/20/11
148260,,"DEL GALLO FINANCIAL SERVICES, LLC","DEL GALLO FINANCIAL SERVICES, LLC",17 BRIAR HILL ROAD,,AVON,CT,6001,860-675-5201,860-675-5202,HTTP://WWW.DELGALLO.COM,Approved,12/1/08
122447,,MONEY MATTERS,"STEINMETZ, MARILYN, SHAPIRO",30 TOWER LANE,,AVON,CT,6001,(860) 674-2466,(860) 678-7847,,Approved,2/7/90
109708,,"NEW ENGLAND CAPITAL PLANNERS, INC.","NEW ENGLAND CAPITAL PLANNERS, INC.",20 AVON MEADOW LANE,,AVON,CT,6001,860-676-9977,860-676-9979,,Approved,2/24/89
115054,,"TITTMANN & RUSCH, LLC","TITTMANN & RUSCH, LLC",30 TOWER LANE,,AVON,CT,6001,860-676-2776,860-677-4336,WWW.TITTMANNRUSCH.COM,Approved,6/1/92
125448,,BACH INVESTMENTS PLUS LLC,BACH INVESTMENTS PLUS LLC,1091 FARMINGTON AVENUE,,BERLIN,CT,6037,860-829-3544,860-828-8838,WWW.BACHINVEST.COM,Approved,10/23/98
113526,,"FINANCIAL STRATEGIES INVESTMENT ADVISOR SERVICES, LLP","FINANCIAL STRATEGIES INVESTMENT ADVISOR SERVICES, LLP",8 SCHOOL STREET UNIT 12,P. O. BOX 246,BETHEL,CT,6801,203-798-9873,203-791-9800,,Approved,2/5/02
157368,,"NORTHWINDS FINANCIAL PLANNING, LLC","NORTHWINDS FINANCIAL PLANNING, LLC",143 PUTNAM PARK ROAD,,BETHEL,CT,6801,203-313-7724,203-778-5324,,Approved,5/10/11
127340,,SALZMAN FINANCIAL MANAGEMENT LLC,SALZMAN FINANCIAL MANAGEMENT LLC,182 GRASSY PLAIN ST,,BETHEL,CT,6801,203-702-0162,815-572-0667,,Approved,2/7/97
125597,,"CAPITAL STRATEGIES, INC.","CAPITAL STRATEGIES, INC.",2 BARNARD LANE,,BLOOMFIELD,CT,6002,860-242-6797,860-243-9650,WWW.CAPITALSTRATEGIESINC.COM,Approved,10/6/87
117439,,CREATIVE FUNDING CORPORATION,CREATIVE FUNDING CORPORATION,699 BLOOMFIELD AVE.,,BLOOMFIELD,CT,6002,860-242-4483,860-242-9482,CREATIVEFUNDINGCT.COM,Approved,9/17/85
127647,,HAWTHORNE ADVISORY GROUP,"HAWTHORNE ADVISORY GROUP, LLC",5 WESTBROOK RD,,BLOOMFIELD,CT,6002,860-558-4207,,WWW.HAWTHORNEADVISORYGROUP.COM,Approved,1/23/02
125477,,"B.P. WALSH AND CO., LLC","B.P. WALSH AND COMPANY, LLC",175 NORTH MAIN STREET,,BRANFORD,CT,6405,203-535-4489,,,Approved,2/2/10
110017,,"BARD FINANCIAL SERVICES, INC.","BARD FINANCIAL SERVICES, INC.",388 EAST MAIN STREET,,BRANFORD,CT,6405,203-481-7676,203-481-7675,WWW.BARDFINANCIAL.COM,Approved,7/12/84
126244,,"SUMMIT ASSET MANAGEMENT, LLC","SUMMIT ASSET MANAGEMENT, LLC",420 EAST MAIN STREET,"BUILDING 1, UNIT 11",BRANFORD,CT,6405,203-483-3313,203-483-2617,,Approved,10/14/99
