CRD#,SEC#,Primary Business Name,Legal Name,Main Office Address 1,Main Office Address 2,Main City,Main State,Main Zip,Main Phone,Main Fax,Web Site,Registration Status,Registration Status Effective Date
118786,801-60965,SCOTTSDALE CAPITAL ADVISORS CORP,SCOTTSDALE CAPITAL ADVISORS CORP,7170 E. MCDONALD RD #6,,SCOTTSDALE,AZ,85253,480-603-4904,480-603-4901,WWW.SCOTTSDALECAPITAL.COM,Approved,2/21/07
146850,,SRA CAPITAL MANAGEMENT LLC,SRA CAPITAL MANAGEMENT LLC,80 E. SIR FRANCIS DRAKE BLVD.,SUITE 3F,LARKSPUR,CA,94939,(415) 925-0346,(415) 925-0264,WWW.SRACAP.COM,Approved,6/15/10
152620,,WILLIAM O'NEIL + COMPANY,WILLIAM O'NEIL + CO. INCORPORATED,12655 BEATRICE STREET,SUITE 2A,LOS ANGELES,CA,90066,310-448-6800,310-577-7375,WWW.WILLIAMONEIL.COM,Approved,2/2/10
130999,,"WINTERS & CO. ADVISORS, LLC","WINTERS & CO. ADVISORS, LLC",11845 WEST OLYMPIC BLVD.,SUITE 540,LOS ANGELES,CA,90064,310-954-8800,310-954-8900,WWW.WINTERS-CO.COM,Approved,9/4/09
110608,,"BROWNSON, REHMUS & FOXWORTH, INC.","BROWNSON, REHMUS & FOXWORTH, INC.",1550 EL CAMINO REAL,SUITE 200,MENLO PARK,CA,94025,650-328-1766,650-324-3856,WWW.BRFINC.COM,Approved,10/12/84
146621,,"VESTIGE WEALTH MANAGEMENT, LLC","VESTIGE WEALTH MANAGEMENT, LLC",2605 NORTH LOWELL  LANE,,SANTA ANA,CA,92706,949-630-2428,949-574-9194,WWW.VESTIGEWM.COM,Approved,6/5/08
143665,,HBW ADVISORY SERVICES LLC,HBW ADVISORY SERVICES LLC,3355 COCHRAN STREET,SUITE 100,SIMI VALLEY,CA,93063,800-473-3856,805-582-1578,WWW.HBWADVISORY.COM,Approved,4/6/09
112122,,"MKS INVESTMENT MANAGEMENT, INC.","MKS INVESTMENT MANAGEMENT, INC.",15 ALICE LANE,,AMSTON,CT,06231,860-228-1040,866-240-7087,WWW.2281040.COM,Approved,11/7/97
156120,,"AVON CAPITAL ADVISORS, LLC","AVON CAPITAL ADVISORS, LLC",40 TOWER LANE,,AVON,CT,06001-4222,860-677-9544,,WWW.AVONCAP.COM,Approved,5/20/11
148260,,"DEL GALLO FINANCIAL SERVICES, LLC","DEL GALLO FINANCIAL SERVICES, LLC",17 BRIAR HILL ROAD,,AVON,CT,06001,860-675-5201,860-675-5202,HTTP://WWW.DELGALLO.COM,Approved,12/1/08
